"Bourbon-Busset-Jacques-Louis-Robert-Marie";-5.499;0.001;-8.412;28.889
"Westrick-Ludger";49.209;-13.416;-5.454;-1.265
"Marjolin-Robert-Ernest";0.957;-2.773;-2.078;4.914
"Blamont-Emile";0.144;-13.674;-5.647;35.908
"Valéry-François";6.122;-6.772;-5.076;6.057
"Adenauer-Konrad";23.542;3.571;-74.712;2.315
"Colin-André";-1.087;-1.186;-0.889;10.458
"Bacon-Paul";-0.248;-15.73;-5.182;50.596
"Plowden-Edwin-Noel";-6.729;7.208;-1.071;0.793
"Labbé-Roland-Georges-Joseph-Marie";-3.025;-2.447;0.512;7.929
"Schneiter-Pierre";-3.025;34.946;-6.219;-4.146
"Ferry-Jacques";-3.025;-2.447;0.512;7.929
"Marshall-George-Catlett";-30.823;-18.795;25.701;29.905
"Spierenburg-Dirk-Pieter";3.318;-7.962;-6.797;14.047
"Saxon-James-Joseph";-4.003;-4.367;-3.273;38.516
"Hommel-Nicolas";-3.272;-3.569;-2.675;31.478
"Ramadier-Paul";-22.34;-17.844;8.57;43.984
"Serrarens-Petrus";12.222;-5.167;-3.873;0.539
"François-Poncet-André";2.348;4.764;-8.265;-1.185
"Pilotti-Massimo";-1.927;-0.959;-5.076;23.06
"Bruce-David";7.26;0;-13.388;0.676
"Ophuels-Carl-Friedrich";0.119;0.04;-3.873;1.967
"Van-Helmont-Jacques";21.572;-7.803;-0.959;-0.843
"Blum-Léon";-8.315;-5.693;-4.319;59.816
"Gouin-Félix";-4.003;-4.367;-3.273;38.516
"McCloy-Jonh-Jay";25.454;-0.985;-31.625;1.933
"Baraduc-Pierre-Jacques";-3.415;0.675;-0.977;4.275
"Auriol-Vincent";-4.003;-4.367;-3.273;38.516
"Reynaud-Paul";-3.272;-1.316;-2.675;23.117
"Philip-André";-3.272;-1.316;-2.675;23.117
"Bevin-Ernest";-10.139;78.272;-11.601;-7.615
"Finet-Paul-C.E.";-1.087;0.038;-0.889;3.408
"Passe-Georges";-3.025;-2.447;0.512;7.929
"Maud'Huy-Bertrand-de";-1.087;-1.186;0.188;3.408
"Massigli-René";-2.225;0.228;-5.377;11.582
"Mollet-Guy";1.31;-25.724;-15.438;67.77
"Hoffman-Paul-Gray";-14.042;1.399;0.016;6.587
"Valay-Gabriel";-2.39;2.059;1.818;-1.616
"Pleven-René";-37.487;93.084;-21.683;0.564
"Snyder-John-Wesley";-12.232;-9.574;-7.236;95.412
"Bonnefous-Edouard";-3.272;-1.316;-2.675;23.117
"Tomlinson-William-Mahon";2.378;-2.988;-3.362;4.335
"Hubert-Lucien-Louis-Théodore";-4.736;-2.739;-1.702;29.307
"Caffery-Jefferson";-10.79;-8.125;-6.147;82.197
"Daum-Léon";-0.815;-0.043;0.022;1.068
"Wehrer-Albert";-3.053;-2.167;-3.429;28.217
"Uri-Pierre-Emmanuel";0.79;-6.11;-9.942;24.098
"MacChesney-Alfred-Brunson";-8.315;-5.693;-4.319;59.816
"Pinay-Antoine";-0.001;-0.406;-8.986;14.047
