"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"gouvernement";0,388091505854684;0,46558990054335;0,683551510704313;0,424802158920076;0,509631341934746;0,748210545965928;0,251312247818646;0,273266978311426;0,475420773869942;0,00155299567661234;0,00223516235344235;0,00481775229227454;0,0103110281325582;0,466581552293191;0,00224469375909105
"plan";-0,256876823070664;0,247371848553671;-0,146711101760887;-0,666140014318577;0,641491454027463;-0,380455248003465;0,526443501246275;0,368839264571485;0,104717234182228;0,000688780190469544;0,000638750648720144;0,000224676040881477;0,0104383247761701;0,21337782823177;0,000475257945640219
"français";-0,0784919464679028;0,231026772319389;0,128189731392144;-0,284782119765183;0,83820438789256;0,465094128515623;0,109033852592257;0,713625653079167;0,177340494328606;5,33305501211569e-05;0,000462009054346173;0,000142243470777594;0,00865617176560445;0,143266507411776;0,000177670454354714
"europe";-0,509155116705126;1,66232367955789;-0,926982651329547;-0,258422553890933;0,843715238382872;-0,470491636653641;0,0902978674134875;0,727182006074223;0,18252012651229;0,00202401509091229;0,0215746969437721;0,00670898365508279;0,00780752747485891;1,02120191197616;0,00814210614352164
"allemand";-0,341246614396937;1,16712675051857;-0,5229607108476;-0,257801938633252;0,881730473564266;-0,395081678169302;0,0887330820601;0,784186899698381;0,127080018241518;0,000874592335690366;0,0102306920169881;0,00205403145079859;0,00751050197309798;0,690439805505686;0,00358030980310312
"pays";-0,704976902821759;0,162599259919591;0,183582877038539;-0,944485300051632;0,217840627371811;0,245953205005818;0,924604798548028;0,037160210700317;0,0382349907516553;0,00379592812119441;0,000201932086339024;0,000257414227246341;0,00763779861670981;0,441872598095868;0,00149129081896884
"communauté";-0,2579522017965;1,12750212950349;0,558730617292224;-0,200816715978308;0,877764459184825;0,43497379320559;0,0546593445561596;0,788960672289065;0,156379983154775;0,000465862894637597;0,00890049957931681;0,00218566995992102;0,00700131539865066;0,664978008471851;0,0030959519259535
"schuman";0,339586233843309;0,830644519537528;-0,125656937276408;0,374763821315754;0,916690617207144;-0,138673683722614;0,178451253243393;0,8066488702263;0,0148998765303088;0,000866102151661698;0,00518202343349931;0,000118588316789011;0,00751050197309798;0,484496371487383;0,00176299070374872
"autorité";0,0615492419803633;0,0626105189415017;1,49384088227252;0,041131029304596;0,0418402405374947;0,998277332558498;0,00277011365662509;0,00216561599462792;0,995064270348748;2,60409084106541e-05;2,69466833837193e-05;0,0153397892905714;0,00687401875503883;0,704813425451339;0,00341475106211333
"haut";0,138889135265235;-0,0625004420847745;1,45622816400141;0,0948585426915424;-0,0426865704247987;0,994575142251105;0,0146649748712423;0,00224360100690865;0,98309142412185;0,00013014556418981;2,63547560769707e-05;0,0143071020509745;0,006746722111427;0,691238415359127;0,00322365498162869
"allemagne";-0,620672793600336;1,53672684958245;-0,849920675081634;-0,333236425075561;0,825061718432971;-0,456318579261564;0,147606736228032;0,683610603662278;0,16878266010969;0,00259907158135476;0,0159325826887677;0,00487359695655213;0,006746722111427;0,973665706127528;0,00639606060418899
"charbon";-0,419389049260881;-0,286450394248884;1,76321344095551;-0,228562189116723;-0,156112157192132;0,960930965305516;0,0824324902088774;0,0290534538367161;0,888514055954407;0,00108217593765825;0,000504850219076441;0,0191281723411165;0,00615267110790512;0,880375868890626;0,00476869954708339
"france";-0,837910200723098;0,584612112510745;-0,566943178616995;-0,717108911077332;0,500328740530205;-0,485207132112608;0,607185624007783;0,22330416131409;0,169510214678128;0,00420058489120766;0,00204479808271281;0,00192306462668257;0,00598294224975602;0,648092492848844;0,00251297861329279
"commun";-0,198477248873428;0,217957024362504;1,22369370730971;-0,15768436193592;0,173160473107778;0,972188815279189;0,0398547350806085;0,0363107213292501;0,923834543590142;0,000230672725769522;0,000278173993156366;0,00876839767151921;0,00585564560614418;0,599198919659954;0,00210240716486564
"mettre";0,0436288340420992;-0,0718294784656321;0,106790788041454;0,321050113044998;-0,528569297980828;0,785837974487011;0,149223927943136;0,305584521580661;0,545191550476204;1,11460759563151e-05;3,02120511213549e-05;6,6779377631902e-05;0,00585564560614418;0,0680698238301983;2,71321392814462e-05
"acier";-0,306128086040771;-0,250959707890899;1,71220748528682;-0,174196708374985;-0,142804130175498;0,974301024938463;0,0485810759488473;0,0246662682123909;0,926752655838763;0,000528875795535159;0,000355431029531257;0,016544746673968;0,0056434845334578;0,837085588771175;0,00395445893111024
"question";0,887229846941782;0,0568297722866996;0,0109662521934659;0,997878984907302;0,0639171863722096;0,0123338869231834;0,99681733947001;0,00308979596350871;9,28645664823876e-05;0,00437561679343439;1,79522474383127e-05;6,68472356233764e-07;0,00555862010438325;0,535585246127512;0,00159449882542964
"conseil";0,242525806934645;0,543194234229176;1,05933827916394;0,199619769514938;0,447095957371214;0,871927263320239;0,0608853825070843;0,230750206169129;0,708364411323787;0,000289514022803024;0,00145232559203884;0,00552361015001635;0,0049221368863241;0,592381780001208;0,00172725744049639
"état";-0,0214693828983505;0,111520763739336;-0,11818418233002;-0,130985609141413;0,680392875727922;-0,721046673147128;0,0250856294048261;0,511366203055983;0,463548167539192;2,38613302704588e-06;6,43823758174819e-05;7,23059836325321e-05;0,00517673017354776;0,081697226671857;3,45517586114686e-05
"traiter";0,634799232911206;0,515667691974724;1,3328522811353;0,405941408278568;0,329759171453282;0,852332365856922;0,238842159972951;0,119072842451465;0,642084997575585;0,00212026512483461;0,00139912729239067;0,00934719757341285;0,00526159460262231;0,782854679256967;0,00322462849134305
"prendre";0,147195911822053;0,434024916186504;0,431551537972994;0,233826713848981;0,689466294438652;0,685537232193569;0,0780628048058733;0,512762966486967;0,409174228707161;0,000113081694073342;0,000983173430139445;0,000971999736114201;0,00521916238808503;0,317522076440228;0,000526197356061884
"européen";-0,474099120781437;1,21922746915776;-0,162019355564963;-0,359668381399462;0,924949132297364;-0,122913620416307;0,164806635163021;0,823456273789892;0,0117370910470872;0,00111588607926807;0,00737990952268905;0,000130321287163799;0,00496456910086137;0,703853147731278;0,00245949347256052
"assemblée";0,414654080648137;0,793435505423854;2,0520840981967;0,18520707752868;0,354391474786283;0,916572430870626;0,0534721176995421;0,147915413166004;0,798612469134455;0,000685796776009939;0,00251100058213253;0,0167963092345544;0,00398862816650401;1,08074318375185;0,00465874094909204
"politique";-0,316351291038063;1,20190534989511;-0,397983844227344;-0,242413305623207;0,920994657420999;-0,304966605153428;0,0776977808689378;0,847314428521625;0,074987790609437;0,000454379467455979;0,00655873392037147;0,00071913489236896;0,00454024695548861;0,684014892178172;0,00212427427679392
"président";2,4502936525114;-0,931253009629295;-0,803660254021071;0,893706006455626;-0,339659863781045;-0,293122416340645;0,851261858046876;0,0928959875303774;0,0558421544227472;0,0275141261179643;0,00397424679161162;0,00295981409685013;0,00458267917002588;1,6006147001975;0,0117406747229915
"accord";0,177155340719554;0,396622750300679;1,96347036414199;0,0880954617260549;0,197231786390843;0,976390706664269;0,0125477957802744;0,047516983051701;0,939935221168026;0,000135832711165487;0,000680849485200475;0,0166857053858411;0,00432808588280222;0,953170915824926;0,00393221661929825
"ministre";1,00639913864613;-0,365597188268095;0,760801417012185;0,766188294646441;-0,278335180794664;0,579210690749731;0,690515821404461;0,0688451717188121;0,240639006876727;0,00408281607737216;0,000538796787313022;0,00233325351687258;0,00403106038104129;0,729934167522804;0,00214776464747889
"comité";0,907715571211216;0,219551650245473;-0,0656183295621535;0,969582267634945;0,234515517480824;-0,0700906438019952;0,954758483746086;0,0421989883088612;0,00304252794505393;0,00325145851887789;0,000190218195895638;1,69913931018393e-05;0,00394619595196673;0,559890728675624;0,00123704414687035
"nécessaire";-0,143771971848176;-0,395275082903962;0,39687625588727;-0,248614133056531;-0,683519679056721;0,686288467910358;0,088048139112057;0,502811581766413;0,409140279121531;9,03402693842491e-05;0,000682860198157067;0,000688403637975606;0,0043705180973395;0,292021207135809;0,000372701985740938
"voir";0,420606820356231;0,228332529464414;-0,421598202447735;0,659463409833794;0,357999302838331;-0,661017783616791;0,544861304453331;0,121311952443516;0,333826743103153;0,000720641971557565;0,000212374567196303;0,000724043121886004;0,00407349259557856;0,34342632407588;0,000480434397528495
"donner";0,232175658415578;0,0821318484524517;0,0294968632295937;0,936060974080346;0,331130397519152;0,118922296658622;0,905481734387066;0,0856059969223923;0,00891226869054308;0,000224158465793241;2,80507816846105e-05;3,61804065675585e-06;0,00415835702465312;0,147054084692781;8,99240707274366e-05
"demander";0,762006944373144;-0,136759875222566;0,546414796127165;0,804152505892203;-0,144323876806926;0,576636250898874;0,747444066052472;0,0181891709336131;0,234366763013915;0,00229137676600243;7,38067425974004e-05;0,00117821228992584;0,00394619595196673;0,531214393016921;0,00111357202933743
"permettre";-0,489212473834351;-0,59414444555157;-0,100241563206522;-0,630319156177504;-0,765517327537367;-0,129154878327251;0,467298809028061;0,520736938439311;0,0119642525326293;0,000924128011818068;0,00136307945934401;3,88000916731841e-05;0,00386133152289218;0,431320836191182;0,000718353095416138
"projet";1,71917963598766;-0,581479326260479;0,0634185284042302;0,94670452354138;-0,320204530691952;0,0349228239212655;0,919744005816651;0,0794927789147978;0,000763215268552097;0,0102837631817865;0,00117646255200933;1,39940000461055e-05;0,00347944159205669;1,08040859051977;0,00406149205424748
"national";-0,487253390808411;0,656976666466144;-0,349740637321634;-0,547734151438405;0,738524479685271;-0,393152505083779;0,372070365959544;0,511034127968365;0,116895506072091;0,000836148722743937;0,0015201053270811;0,000430790368384344;0,00352187380659397;0,481440457256389;0,000816317216969023
"production";-1,17360498377614;-1,74597238412233;0,0354674737680858;-0,557783805116972;-0,829815085576247;0,0168567642006733;0,374157740396358;0,625633876915422;0,000208382688221128;0,00444174048473535;0,00983069067021486;4,05667114427924e-06;0,00322484830483303;1,1563647157978;0,00431220057926767
"délégation";1,33631407081877;0,00243443667519419;0,59765325858707;0,912860644650654;0,001663008331056;0,40826789960917;0,891283251807946;2,23475696631035e-06;0,10871451343509;0,00598604355130435;1,98664264487169e-08;0,00119735070150973;0,00335214494844486;0,853101925196031;0,00243963375427847
"base";-1,00823890772717;-0,814016017556847;-0,34792587953337;-0,751450951584408;-0,606694610086966;-0,259312779195922;0,63894504511683;0,314656838638722;0,0463981162444492;0,00358014565661961;0,00233367133609055;0,00042633133894313;0,00352187380659397;0,760207155254283;0,00203534341531311
"américain";-0,0754618806255181;-0,333219201197714;-0,429790726571424;-0,137442253817802;-0,606907721466117;-0,78279795892062;0,0281592694434012;0,414821106166355;0,557019624390244;1,86055139780446e-05;0,000362782610243429;0,000603532281826411;0,00326728051937031;0,271029888302834;0,000240005279722298
"cours";1,10216667073516;-0,320488043290548;-0,435825632581594;0,897695387900581;-0,26103188018497;-0,354972320145001;0,862641609964813;0,0551054039804995;0,0822529860546884;0,00422672602989403;0,000357382443381031;0,000660898991184369;0,00347944159205669;0,715207938148484;0,00177981229570287
"marché";-1,21875915475445;-1,54967780177836;0,531246058722359;-0,596893518272799;-0,758962615119071;0,260180469473671;0,427838557071218;0,522590650545309;0,0495707923834747;0,00466405002418787;0,0075406753260925;0,000886173706589509;0,00313998387575848;1,12299593450912;0,00395989605382002
"condition";-0,577171985960434;-0,0929415681999176;0,0803708554267811;-0,978081852551251;-0,157499780681014;0,13619731566865;0,969542048696103;0,0189937547587189;0,01146419654518;0,00107428565811053;2,78566753324121e-05;2,0830825075507e-05;0,00322484830483303;0,353282538811446;0,000402488648084552
