"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"476";"1792";"26.56";"****";""
" 0";" 65";" 0.00";"-24.40";"monnet";"7.845090e-07"
" 0";" 49";" 0.00";"-18.22";"jean";"1.966307e-05"
" 2";" 58";" 3.45";"-16.42";"effort";"5.083249e-05"
" 0";" 44";" 0.00";"-16.32";"ressource";"5.362361e-05"
" 2";" 56";" 3.57";"-15.66";"ouest";"7.564294e-05"
" 1";" 49";" 2.04";"-15.53";"cher";"8.123851e-05"
"12";"108";"11.11";"-14.07";"président";"1.765141e-04"
" 1";" 43";" 2.33";"-13.27";"financement";"2.700668e-04"
" 1";" 43";" 2.33";"-13.27";"modernisation";"2.700668e-04"
" 6";" 73";" 8.22";"-13.13";"unir";"2.911238e-04"
" 2";" 47";" 4.26";"-12.31";"contribution";"4.499573e-04"
" 2";" 45";" 4.44";"-11.58";"militaire";"6.680261e-04"
" 3";" 49";" 6.12";"-10.79";"force";"1.020603e-03"
" 0";" 29";" 0.00";"-10.66";"caisse";"1.093648e-03"
" 1";" 36";" 2.78";"-10.65";"public";"1.098147e-03"
" 7";" 71";" 9.86";"-10.57";"grand";"1.146950e-03"
" 0";" 28";" 0.00";"-10.29";"observation";"1.338680e-03"
" 5";" 59";" 8.47";"-10.23";"développement";"1.379870e-03"
" 3";" 47";" 6.38";"-10.08";"réalisation";"1.502374e-03"
" 3";" 46";" 6.52";" -9.72";"venir";"1.822138e-03"
" 8";" 73";"10.96";" -9.50";"défense";"2.056583e-03"
" 5";" 56";" 8.93";" -9.21";"programme";"2.400616e-03"
" 1";" 32";" 3.12";" -9.18";"aide";"2.453293e-03"
" 0";" 25";" 0.00";" -9.17";"sentiment";"2.459487e-03"
" 1";" 31";" 3.23";" -8.81";"besoin";"3.000631e-03"
" 6";" 60";"10.00";" -8.73";"remettre";"3.130438e-03"
" 0";" 23";" 0.00";" -8.43";"progrès";"3.696264e-03"
" 0";" 23";" 0.00";" -8.43";"envoyer";"3.696264e-03"
" 4";" 48";" 8.33";" -8.40";"apporter";"3.748208e-03"
" 0";" 22";" 0.00";" -8.06";"armée";"4.534437e-03"
" 0";" 22";" 0.00";" -8.06";"snyder";"4.534437e-03"
" 0";" 22";" 0.00";" -8.06";"guerre";"4.534437e-03"
"11";" 83";"13.25";" -7.90";"base";"4.934398e-03"
" 1";" 27";" 3.70";" -7.34";"réarmement";"6.732223e-03"
" 0";" 20";" 0.00";" -7.32";"passer";"6.835512e-03"
" 1";" 26";" 3.85";" -6.98";"seul";"8.245866e-03"
" 0";" 19";" 0.00";" -6.95";"amérique";"8.400750e-03"
" 0";" 19";" 0.00";" -6.95";"matériel";"8.400750e-03"
" 0";" 19";" 0.00";" -6.95";"développer";"8.400750e-03"
" 3";" 38";" 7.89";" -6.94";"année";"8.449241e-03"
" 2";" 32";" 6.25";" -6.89";"financier";"8.660543e-03"
" 7";" 59";"11.86";" -6.76";"assurer";"9.340285e-03"
" 0";" 18";" 0.00";" -6.58";"soir";"1.033223e-02"
" 0";" 18";" 0.00";" -6.58";"relèvement";"1.033223e-02"
" 0";" 18";" 0.00";" -6.58";"ajouter";"1.033223e-02"
" 2";" 31";" 6.45";" -6.54";"bretagne";"1.054412e-02"
" 3";" 36";" 8.33";" -6.26";"moment";"1.236063e-02"
" 0";" 17";" 0.00";" -6.21";"copie";"1.271866e-02"
" 0";" 17";" 0.00";" -6.21";"voie";"1.271866e-02"
" 0";" 17";" 0.00";" -6.21";"apparaître";"1.271866e-02"
" 9";" 67";"13.43";" -6.15";"conversation";"1.313395e-02"
"35";"184";"19.02";" -5.98";"europe";"1.449024e-02"
"11";" 76";"14.47";" -5.95";"production";"1.475186e-02"
" 3";" 35";" 8.57";" -5.92";"important";"1.494220e-02"
" 1";" 23";" 4.35";" -5.89";"crédit";"1.519010e-02"
" 1";" 23";" 4.35";" -5.89";"association";"1.519010e-02"
" 7";" 56";"12.50";" -5.86";"problème";"1.548678e-02"
" 2";" 29";" 6.90";" -5.84";"période";"1.562829e-02"
" 2";" 29";" 6.90";" -5.84";"manière";"1.562829e-02"
" 0";" 16";" 0.00";" -5.84";"milliard";"1.567143e-02"
" 0";" 16";" 0.00";" -5.84";"équipement";"1.567143e-02"
" 0";" 16";" 0.00";" -5.84";"sécurité";"1.567143e-02"
" 0";" 16";" 0.00";" -5.84";"monde";"1.567143e-02"
" 2";" 28";" 7.14";" -5.50";"montrer";"1.902606e-02"
" 0";" 15";" 0.00";" -5.47";"herter";"1.933091e-02"
" 0";" 15";" 0.00";" -5.47";"immédiat";"1.933091e-02"
" 0";" 15";" 0.00";" -5.47";"commande";"1.933091e-02"
" 0";" 15";" 0.00";" -5.47";"reconnaissant";"1.933091e-02"
" 0";" 15";" 0.00";" -5.47";"information";"1.933091e-02"
" 0";" 15";" 0.00";" -5.47";"guindey";"1.933091e-02"
" 0";" 15";" 0.00";" -5.47";"espérer";"1.933091e-02"
" 0";" 15";" 0.00";" -5.47";"division";"1.933091e-02"
" 0";" 15";" 0.00";" -5.47";"aider";"1.933091e-02"
" 3";" 33";" 9.09";" -5.26";"investissement";"2.180911e-02"
"26";"141";"18.44";" -5.18";"france";"2.289490e-02"
" 1";" 21";" 4.76";" -5.18";"occidental";"2.288617e-02"
" 1";" 21";" 4.76";" -5.18";"dépense";"2.288617e-02"
" 1";" 21";" 4.76";" -5.18";"fonds";"2.288617e-02"
" 2";" 27";" 7.41";" -5.16";"niveau";"2.316210e-02"
" 2";" 27";" 7.41";" -5.16";"esprit";"2.316210e-02"
" 0";" 14";" 0.00";" -5.10";"emprunt";"2.387483e-02"
" 0";" 14";" 0.00";" -5.10";"rythme";"2.387483e-02"
" 0";" 14";" 0.00";" -5.10";"etc";"2.387483e-02"
" 0";" 14";" 0.00";" -5.10";"importation";"2.387483e-02"
" 3";" 32";" 9.38";" -4.93";"atlantique";"2.633074e-02"
" 1";" 20";" 5.00";" -4.82";"partir";"2.811891e-02"
" 0";" 13";" 0.00";" -4.74";"devenir";"2.952929e-02"
" 0";" 13";" 0.00";" -4.74";"revenir";"2.952929e-02"
" 0";" 13";" 0.00";" -4.74";"indochine";"2.952929e-02"
" 0";" 13";" 0.00";" -4.74";"homme";"2.952929e-02"
" 0";" 13";" 0.00";" -4.74";"fermer";"2.952929e-02"
" 0";" 13";" 0.00";" -4.74";"complet";"2.952929e-02"
" 0";" 13";" 0.00";" -4.74";"administration";"2.952929e-02"
"31";"159";"19.50";" -4.47";"allemagne";"3.458688e-02"
" 1";" 19";" 5.26";" -4.47";"finance";"3.457383e-02"
" 1";" 19";" 5.26";" -4.47";"contribuer";"3.457383e-02"
" 0";" 12";" 0.00";" -4.37";"tonne";"3.658371e-02"
" 0";" 12";" 0.00";" -4.37";"angleterre";"3.658371e-02"
" 0";" 12";" 0.00";" -4.37";"transport";"3.658371e-02"
" 0";" 12";" 0.00";" -4.37";"midi";"3.658371e-02"
" 0";" 12";" 0.00";" -4.37";"main_d_oeuvre";"3.658371e-02"
" 0";" 12";" 0.00";" -4.37";"entretenir";"3.658371e-02"
" 0";" 12";" 0.00";" -4.37";"dévoué";"3.658371e-02"
" 0";" 12";" 0.00";" -4.37";"collaborateur";"3.658371e-02"
" 5";" 40";"12.50";" -4.15";"activité";"4.169234e-02"
" 6";" 45";"13.33";" -4.14";"prix";"4.184924e-02"
" 2";" 24";" 8.33";" -4.14";"rapidement";"4.178373e-02"
" 1";" 18";" 5.56";" -4.11";"continental";"4.254597e-02"
" 1";" 18";" 5.56";" -4.11";"assurance";"4.254597e-02"
" 0";" 11";" 0.00";" -4.00";"changer";"4.541135e-02"
" 0";" 11";" 0.00";" -4.00";"heure";"4.541135e-02"
" 0";" 11";" 0.00";" -4.00";"départ";"4.541135e-02"
" 0";" 11";" 0.00";" -4.00";"charge";"4.541135e-02"
" 0";" 11";" 0.00";" -4.00";"budget";"4.541135e-02"
" 0";" 11";" 0.00";" -4.00";"ami";"4.541135e-02"
" 0";" 11";" 0.00";" -4.00";"rencontrer";"4.541135e-02"
" 0";" 11";" 0.00";" -4.00";"reconstruction";"4.541135e-02"
" 0";" 11";" 0.00";" -4.00";"large";"4.541135e-02"
" 0";" 11";" 0.00";" -4.00";"communiqué";"4.541135e-02"
"13";" 77";"16.88";" -3.86";"américain";"4.932316e-02"
"10";" 63";"15.87";" -3.82";"aller";"5.049898e-02"
" 2";" 23";" 8.70";" -3.81";"notamment";"5.086155e-02"
" 1";" 17";" 5.88";" -3.76";"entretien";"5.240534e-02"
" 1";" 17";" 5.88";" -3.76";"fondamental";"5.240534e-02"
" 3";" 28";"10.71";" -3.66";"opinion";"5.565186e-02"
" 0";" 10";" 0.00";" -3.64";"exportation";"5.649785e-02"
" 0";" 10";" 0.00";" -3.64";"réduction";"5.649785e-02"
" 0";" 10";" 0.00";" -3.64";"ration";"5.649785e-02"
" 0";" 10";" 0.00";" -3.64";"contrepartie";"5.649785e-02"
" 0";" 10";" 0.00";" -3.64";"allocation";"5.649785e-02"
" 0";" 10";" 0.00";" -3.64";"utilisation";"5.649785e-02"
" 0";" 10";" 0.00";" -3.64";"télégramme";"5.649785e-02"
" 0";" 10";" 0.00";" -3.64";"productivité";"5.649785e-02"
" 0";" 10";" 0.00";" -3.64";"priorité";"5.649785e-02"
" 0";" 10";" 0.00";" -3.64";"principal";"5.649785e-02"
" 0";" 10";" 0.00";" -3.64";"naturellement";"5.649785e-02"
" 0";" 10";" 0.00";" -3.64";"financer";"5.649785e-02"
" 0";" 10";" 0.00";" -3.64";"expansion";"5.649785e-02"
" 0";" 10";" 0.00";" -3.64";"concret";"5.649785e-02"
" 0";" 10";" 0.00";" -3.64";"comporter";"5.649785e-02"
" 0";" 10";" 0.00";" -3.64";"balancer";"5.649785e-02"
" 0";" 10";" 0.00";" -3.64";"accroissement";"5.649785e-02"
" 5";" 38";"13.16";" -3.58";"objectif";"5.861557e-02"
" 2";" 22";" 9.09";" -3.49";"répondre";"6.190853e-02"
" 2";" 22";" 9.09";" -3.49";"atteindre";"6.190853e-02"
" 1";" 16";" 6.25";" -3.41";"prier";"6.461742e-02"
" 6";" 42";"14.29";" -3.32";"nouveau";"6.831661e-02"
" 5";" 37";"13.51";" -3.30";"penser";"6.937113e-02"
" 4";" 32";"12.50";" -3.30";"créer";"6.915188e-02"
" 0";"  9";" 0.00";" -3.27";"hirsch";"7.048236e-02"
" 0";"  9";" 0.00";" -3.27";"total";"7.048236e-02"
" 0";"  9";" 0.00";" -3.27";"soudure";"7.048236e-02"
" 0";"  9";" 0.00";" -3.27";"dominer";"7.048236e-02"
" 0";"  9";" 0.00";" -3.27";"chose";"7.048236e-02"
" 0";"  9";" 0.00";" -3.27";"épargner";"7.048236e-02"
" 0";"  9";" 0.00";" -3.27";"élimination";"7.048236e-02"
" 0";"  9";" 0.00";" -3.27";"russe";"7.048236e-02"
" 0";"  9";" 0.00";" -3.27";"robert";"7.048236e-02"
" 0";"  9";" 0.00";" -3.27";"rapporter";"7.048236e-02"
" 0";"  9";" 0.00";" -3.27";"produire";"7.048236e-02"
" 0";"  9";" 0.00";" -3.27";"procédé";"7.048236e-02"
" 0";"  9";" 0.00";" -3.27";"positif";"7.048236e-02"
" 0";"  9";" 0.00";" -3.27";"incident";"7.048236e-02"
" 0";"  9";" 0.00";" -3.27";"heureux";"7.048236e-02"
" 0";"  9";" 0.00";" -3.27";"entreprendre";"7.048236e-02"
" 0";"  9";" 0.00";" -3.27";"constamment";"7.048236e-02"
" 0";"  9";" 0.00";" -3.27";"chiffre";"7.048236e-02"
" 0";"  9";" 0.00";" -3.27";"assister";"7.048236e-02"
" 0";"  9";" 0.00";" -3.27";"accomplir";"7.048236e-02"
" 0";"  9";" 0.00";" -3.27";"accompagner";"7.048236e-02"
" 1";" 15";" 6.67";" -3.07";"préoccupation";"7.976997e-02"
" 1";" 15";" 6.67";" -3.07";"long";"7.976997e-02"
" 1";" 15";" 6.67";" -3.07";"volonté";"7.976997e-02"
" 1";" 15";" 6.67";" -3.07";"parler";"7.976997e-02"
" 1";" 15";" 6.67";" -3.07";"dépendre";"7.976997e-02"
" 1";" 15";" 6.67";" -3.07";"agricole";"7.976997e-02"
" 3";" 26";"11.54";" -3.05";"document";"8.059499e-02"
" 5";" 36";"13.89";" -3.03";"solution";"8.198872e-02"
" 5";" 36";"13.89";" -3.03";"initiative";"8.198872e-02"
" 0";"  8";" 0.00";" -2.91";"bas";"8.821806e-02"
" 0";"  8";" 0.00";" -2.91";"réadaptation";"8.821806e-02"
" 0";"  8";" 0.00";" -2.91";"conduire";"8.821806e-02"
" 0";"  8";" 0.00";" -2.91";"commissaire";"8.821806e-02"
" 0";"  8";" 0.00";" -2.91";"augmentation";"8.821806e-02"
" 0";"  8";" 0.00";" -2.91";"urgent";"8.821806e-02"
" 0";"  8";" 0.00";" -2.91";"tentation";"8.821806e-02"
" 0";"  8";" 0.00";" -2.91";"surmonter";"8.821806e-02"
" 0";"  8";" 0.00";" -2.91";"remercier";"8.821806e-02"
