"";"classe 1";"classe 2";"classe 3";"classe 4"
"gouvernement";52,665;-1,797;-33,988;-0,138
"plan";-0,044;9,666;0,092;-11,883
"français";3,315;1,077;-0,653;-5,013
"europe";-5,977;205,375;-39,738;-42,965
"allemand";-0,518;86,544;-19,484;-23,526
"pays";2,122;3,733;8,883;-44,079
"communauté";35,419;19,457;-24,95;-36,593
"schuman";2,594;17,683;-39,697;0,009
"autorité";93,958;-29,772;-1,375;-10,222
"haut";84,139;-37,013;-0,721;-5,256
"allemagne";-4,465;157,373;-21,253;-44,647
"charbon";94,195;-45,37;8,237;-34,822
"france";-5,176;44,141;2,032;-38,566
"commun";56,127;-7,632;-0,278;-19,596
"mettre";0,759;-0,633;0,101;-0,147
"acier";83,085;-40,047;4,289;-24,11
"question";1,143;-2,639;-16,7;22,488
"conseil";45,96;-2,113;-14,204;-3,312
"état";-0,007;0,871;-0,036;-0,53
"traiter";74,89;-11,046;-31,487;0,005
"prendre";11,931;0,062;-7,223;-1,498
"européen";1,644;45,859;-11,223;-28,18
"assemblée";121,953;-11,788;-29,338;-6,452
"politique";0,017;46,255;-13,419;-14,463
"président";-14,066;-36,878;-28,696;254,278
"accord";107,468;-20,207;-8,9;-9,774
"ministre";14,163;-28,676;-5,916;18,082
"comité";0,632;-0,299;-16,952;15,194
"nécessaire";2,329;-6,302;5,268;-1,48
"voir";-1,143;1,85;-4,961;3,639
"donner";0,488;-0,028;-1,169;0,281
"demander";8,792;-11,45;-5,48;8,265
"permettre";-1,587;-1,285;19,513;-3,57
"projet";0,323;-25,703;-13,648;74,05
"national";-0,271;16,989;-0,271;-11,433
"production";-5,946;-18,444;110,601;-11,344
"délégation";11,5;-13,443;-21,805;25,761
"base";-7,903;-0,137;48,694;-13,332
"américain";-3,864;0,003;3,181;0,052
"cours";-2,19;-3,265;-5,511;34,696
"marché";-0,031;-22,352;93,109;-19,576
"condition";0,047;0,152;5,842;-9,527
"général";0,027;-0,94;4,366;-1,519
"défense";-9,498;83,037;-6,082;-16,829
"premier";-0,609;0,217;-0,354;0,852
"part";0;0,574;-0,023;-0,418
"institution";33,787;0,008;-7,336;-12,488
"unir";-13,127;21,18;-0,224;-0,434
"économique";0,498;1,33;0,443;-7,115
"grand";-10,574;52,356;-3,205;-6,622
"essentiel";-0,094;15,265;-0,486;-10,23
"création";-0,136;9,789;1,547;-18,031
"représentant";58,82;-19,457;-20,584;1,463
"membre";75,002;-9,517;-15,863;-3,365
"industrie";-0,529;-9,517;43,606;-6,489
"ensemble";0,345;4,526;0,651;-13,962
"disposition";15,817;-28,741;-1,335;7,536
"rapport";3,711;-3,213;-3,086;2,776
"proposer";0,676;-0,378;-2,644;2,049
"conversation";-6,151;-21,973;-13,3;129,431
"possible";-2,385;-0,576;16,598;-2,713
"actuel";-1,447;5,34;0,434;-3,563
"concerner";8,307;-5,249;-0,034;-0,154
"monnet";-24,396;-21,138;-14,931;198,998
"effort";-16,417;33,706;2,294;-12,314
"article";52,88;-20,437;0;-7,952
"remettre";-8,73;-8,458;-4,387;70,406
"organisation";10,142;6,392;-3,379;-18,146
"aller";-3,825;12,022;-5,085;0,356
"accepter";0,281;9,652;-9,486;-0,67
"ouest";-15,664;112,298;-14,525;-11,721
"programme";-9,215;-4,256;71,937;-9,595
"développement";-10,233;3,437;27,2;-14,97
"action";3,927;10,076;-6,075;-9,31
"travail";0,001;-5,59;0,005;5,98
"assurer";-6,757;-1,902;24,01;-0,476
"problème";-5,86;57,499;-12,164;-4,492
"entreprise";-2,043;-2,859;40,273;-9,31
"décision";13,892;-0,309;-8,069;-0,239
"position";14,167;-0,095;-7,236;-0,898
"négociation";4,797;4,653;-6,336;-4,492
"mesure";21,026;-9,942;-0,19;-1,027
"discussion";0,269;-1,722;-7,512;13,195
"situation";-1,847;8,896;0,049;-4,035
"temps";-1,658;3,456;5,26;-8,744
"partie";8,018;-0,133;-0,02;-6,084
"effet";5,245;-0,049;-0,925;-1,486
"force";-10,79;41,936;-0,004;-11,95
"conférence";9,246;-8,845;-15,524;15,706
"établir";2,052;-0,203;-0,308;-0,223
"tenir";-0,031;-4,112;-0,799;10,763
"jour";-1,734;-0,077;-6,147;17,607
"réalisation";-10,076;17,378;1,329;-5,31
"prix";-4,141;-15,464;92,457;-10,755
"apporter";-8,402;9,362;-0,465;0,204
"réunion";0,07;-8,937;-11,429;40,461
"proposition";-0,336;19,002;-7,691;-1,703
"jean";-18,222;-14,555;-10,046;140,402
"délégué";44,549;-10,253;-10,815;-0,091
"cher";-15,529;-17,112;-12,353;148,767
"moyen";-2,036;0,434;11,434;-6,797
"lettre";-0,563;-18,628;-13,962;85,205
"contribution";-12,312;20,222;3,449;-9,085
"agir";5,803;0,008;-0,667;-3,346
"ressource";-16,315;-12,538;126,768;-10,457
"rendre";-2,252;3,502;1,329;-2,542
"indispensable";-1,36;2,382;3,449;-5,31
"venir";-9,721;0,107;-0,032;9,812
"seulement";0,885;1,747;-0,285;-3,571
"mémorandum";-1,132;-9,755;-3,095;39,437
"militaire";-11,576;37,497;0,069;-10,755
"dernier";-1,826;-2,515;-0,209;13,029
"activité";-4,148;-8,718;75,932;-11,757
"ruhr";68,337;-9,1;-9,899;-5,448
"prévoir";1,085;-3,691;17,804;-10,755
"lieu";-0,167;0,539;-6,004;4,449
"financement";-13,267;-12,137;115,227;-10,16
"modernisation";-13,267;-17,383;107,466;-4,307
"forme";-2,624;15,324;-0,552;-3,124
"sidérurgie";3,784;-9,755;0,379;0,482
"objet";1,847;-0,094;-0,926;-0,02
"nouveau";-3,323;14,853;-0,048;-4,062
"poursuivre";-1,069;25,513;-4,068;-5,448
"fédéral";29,213;-3,858;-12,409;-0,003
"comprendre";0,569;2,382;-2,691;-0,667
"relation";1,493;5,629;-3,82;-3,582
"relatif";29,213;-7,106;-2,691;-1,43
"affaire";-0,017;-0,138;-5,182;8,044
"soumettre";0,248;-8,718;-1,422;14,959
"particulier";2,894;-1,189;0,655;-2,076
"parlement";51,834;-6,392;-7,087;-4,921
"objectif";-3,576;9,017;2,858;-8,681
"année";-6,936;-2,991;45,825;-4,66
"réponse";-0,355;2,033;-10,865;5,816
"participation";-0,097;24,908;-6,507;-6,235
"conséquence";6,574;-0,406;0,269;-6,515
"solution";-3,025;39,505;-2,861;-10,557
"intérêt";19,01;-5,346;-0,791;-1,507
"difficulté";0,667;0,319;0,379;-4,402
"réaliser";0,863;-1,418;12,416;-10,557
"public";-10,654;4,724;7,405;-2,663
"penser";-3,298;4,163;-4,645;3,578
"participer";0,194;5,804;-3,095;-1,69
"sarre";29,727;-4,005;-9,636;-0,24
"moment";-6,258;26,666;-4,379;-0,678
"initiative";-3,025;19,504;-1,665;-2,663
"important";-5,923;-0,117;5,979;0,237
"également";-0,163;0,021;-1,297;2,011
"terme";2,838;1,08;-0,05;-7,216
"statut";25,849;0,021;-10,249;-5,402
"recommandation";5,594;1,687;-0,803;-9,065
"raison";-0,788;0,173;-0,654;1,708
"principe";11,315;0,173;-8,079;-1,329
"investissement";-5,261;-13,265;88,476;-9,661
"financier";-6,892;-1,462;44,505;-6,925
"engager";0,074;0,632;2,663;-7,8
"compte";1,092;-3,452;5,979;-2,443
"charger";-0,013;-3,452;23,869;-7,8
"application";32,295;-5,004;-0,654;-7,8
"technique";-0,634;-1,014;8,922;-1,159
"obtenir";-0,163;-0,057;0,854;-0,06
"créer";-3,303;22,383;-0,959;-4,854
"caisse";-10,662;-8,968;90,966;-8,47
"cadre";-1,019;35,036;-5,081;-9,363
"bretagne";-6,541;48,031;-4,8;-6,634
"aide";-9,175;-5,747;50,356;-1,813
"étranger";-1,019;-5,747;0,088;11,329
"trouver";-0,493;2,042;1,068;-3,394
"prochain";-2,244;-1,694;0,378;5,651
"fin";2,838;-0,017;-0,411;-0,997
"exécution";0;-5,032;16,123;-2,671
"atlantique";-4,934;45,04;-9,636;-3,15
"service";-2,737;1,055;0,256;0,018
"international";6,892;2,443;-7,178;-3,15
"besoin";-8,807;-3,682;53,381;-4,582
"aboutir";1,019;0,594;0,088;-4,854
"période";-5,844;-6,651;67,23;-8,47
"opinion";-3,662;11,67;-2,368;-0,013
"observation";-10,288;-8,568;-3,971;73,563
"fixer";2,824;-2,033;1,913;-2,671
"commission";3,822;-5,388;-6,878;9,491
"chancelier";2,386;-3,682;-6,878;9,491
"régler";1,221;0,772;-1,177;-1,059
"possibilité";-2,737;1,055;1,913;-0,563
"ordre";0,454;-4,332;0,076;1,582
"niveau";-5,156;-3,989;53,548;-7,877
"indiquer";0,016;-0,251;-0,076;0,471
"convenir";-2,737;-3,365;-6,58;40,002
"texte";-0,089;-8,968;-2,606;26,858
"territoire";48,295;-8,169;-2,135;-7,877
"suivant";0,948;0,109;-0,521;-0,439
"suite";-0,521;-4,68;-1,365;18,347
"peuple";0,132;19,898;-5,689;-7,877
"oeuvre";7,124;-3,055;0,029;-1,236
"manière";-5,844;0,557;5,762;-0,439
"hallstein";-1,313;-8,968;-8,717;55,213
"fois";-0,265;-0,076;7,275;-3,517
"conclusion";12,369;-0,007;-8,717;-0,439
"souveraineté";3,872;6,607;-3,971;-8,174
"réarmement";-7,343;49,615;-3,699;-7,877
"pied";0,132;10,043;-0,998;-7,877
"note";-1,69;-3,65;-0,829;19,037
"montrer";-5,499;6,607;2,683;-3,78
"intéresser";8,01;-11,223;0,076;0,118
"informer";-1,939;-5,894;-8,107;48,622
"exposer";-0,909;-2,454;-2,135;17,462
"envisager";3,872;0,772;-0,398;-5,767
"document";-3,053;-10,409;-3,429;51,98
"consultatif";54,59;-5,894;-5,689;-7,877
"connaître";-0,265;0,024;-3,699;5,364
"cas";11,813;-3,989;-5,689;0,844
"adresser";-1,105;-2,751;-2,368;19,891
"seul";-6,979;8,492;5,686;-7,581
"pratique";-0,265;-5,894;29,915;-5,48
"paix";-1,939;33,088;-3,699;-7,877
"organisme";20,384;-0,024;-3,429;-7,581
"esprit";-5,156;10,043;-2,135;0,205
"éviter";0,239;2,554;-0,193;-3,256
"unique";-1,221;0,009;13,567;-6,99
"sentiment";-9,17;-0,23;-3,163;30,51
"rester";-0,085;0,742;-0,115;-0,079
"pari";-0,085;-5,146;-5,1;25,401
"mois";0,572;-0,13;2,975;-4,624
"italien";16,106;-4,777;-2,9;-0,031
"fonction";14,532;-0,001;-5,1;-2,999
"expert";-2,756;-5,146;-5,1;42,133
"armée";-8,056;49,522;-4,225;-6,4
"sujet";-0,278;-0,493;-4,515;11,975
"snyder";-8,056;-8,788;-6,587;77,512
"résulter";2,347;-5,146;6,455;-2,999
"résultat";-1,45;-0,23;4,247;-0,079
"recevoir";-2,466;-2,99;0,556;7,756
"nécessité";-0,56;1,713;4,247;-7,286
"guerre";-8,056;21,677;0,25;-6,4
"déclaration";-0,03;3,689;-4,807;0,101
"décider";5,973;-1,888;-3,163;0,472
"crédit";-5,894;-6,584;62,03;-6,695
"cour";34,508;-9,598;-7,194;-0,031
"coopération";0,384;0,742;-0,115;-1,558
"actuellement";-0,085;4,854;-5,1;0,041
"élaboration";1,492;0,009;-2,9;0,101
"règlement";5,4;1,349;-4,515;-2,495
"rapidement";-4,144;0,305;0,065;1,701
"progrès";-8,427;1,349;15,02;-4,341
"mai";-1,221;8,027;-7,194;0,657
"intervenir";31,923;-9,193;-0,016;-6,695
"importance";6,85;0,009;-0,524;-4,624
"envoyer";-8,427;-9,193;-6,89;81,081
"droit";0,123;-1,761;8,48;-3,5
"belge";-0,168;-2,358;6,476;-0,22
"rôle";7,261;-0,21;-0,172;-3,779
"propre";-0,278;0,053;3,517;-2,495
"producteur";0,179;-6,584;23,772;-6,695
"nouvelle";3,418;0,484;-1,265;-2,495
"notamment";-3,813;-2,67;23,772;-1,157
