gouvernement;111;60;20;52
plan;64;90;58;34
français;65;64;42;33
europe;35;135;8;6
allemand;43;103;17;14
pays;56;62;57;5
communauté;76;71;12;6
schuman;56;74;7;40
autorité;95;16;31;20
haut;91;12;32;24
allemagne;31;113;13;2
charbon;88;6;47;4
france;26;74;39;2
commun;74;25;29;10
mettre;41;35;33;29
acier;80;6;40;7
question;40;29;11;51
conseil;62;26;10;18
état;32;39;27;24
traiter;74;19;3;28
prendre;49;36;16;22
européen;37;65;12;3
assemblée;71;12;0;11
politique;29;61;9;8
président;12;3;2;91
accord;72;9;11;10
ministre;41;4;12;38
comité;28;24;5;36
nécessaire;34;18;33;18
voir;21;33;13;29
donner;29;27;18;24
demander;37;12;12;32
permettre;19;21;38;13
projet;24;3;5;50
national;20;40;17;6
production;11;5;55;5
délégation;34;8;1;36
base;11;22;45;5
américain;13;22;24;18
cours;16;16;10;40
marché;19;3;51;1
condition;21;23;26;6
général;20;17;24;12
défense;8;55;8;2
premier;17;23;15;20
part;18;22;15;13
institution;38;19;6;3
unir;6;38;15;14
économique;22;25;19;7
grand;7;47;10;7
essentiel;18;35;14;5
création;17;31;20;1
représentant;45;3;0;19
membre;49;8;2;9
industrie;13;6;34;5
ensemble;21;28;19;3
disposition;33;0;12;25
rapport;24;12;9;20
proposer;21;17;10;20
conversation;9;2;3;53
possible;13;17;30;10
actuel;14;28;18;9
concerner;27;10;14;13
monnet;0;2;2;61
effort;2;36;18;2
article;39;1;13;4
remettre;6;7;7;40
organisation;27;26;8;0
aller;10;30;7;16
accepter;18;28;4;11
ouest;2;51;1;2
programme;5;9;39;3
développement;5;23;30;1
action;21;26;5;3
travail;15;8;13;20
assurer;7;12;29;11
problème;7;41;2;6
entreprise;10;10;32;3
décision;27;14;4;11
position;26;14;4;9
négociation;22;23;5;6
mesure;29;5;11;9
discussion;16;11;4;23
situation;10;25;13;6
temps;10;21;19;3
partie;22;13;11;4
effet;21;14;9;8
force;3;34;11;1
conférence;23;5;0;23
établir;18;13;10;10
tenir;13;8;9;21
jour;9;13;4;23
réalisation;3;26;14;4
prix;6;1;37;1
apporter;4;23;9;12
réunion;13;4;1;28
proposition;11;27;3;7
jean;0;2;2;45
délégué;31;3;1;9
cher;1;1;1;46
moyen;8;15;20;3
lettre;10;0;0;36
contribution;2;27;16;2
agir;19;13;8;5
ressource;0;2;41;1
rendre;8;19;14;6
indispensable;9;18;16;4
venir;3;14;10;19
seulement;15;17;9;5
mémorandum;7;2;4;24
militaire;2;31;11;1
dernier;8;8;9;20
activité;5;3;32;0
ruhr;34;3;1;3
prévoir;15;7;22;1
lieu;10;14;3;15
financement;1;2;39;1
modernisation;1;0;38;4
forme;7;24;8;5
sidérurgie;15;2;10;10
objet;15;11;7;9
nouveau;6;23;9;4
poursuivre;8;26;4;3
fédéral;26;6;0;9
comprendre;13;16;5;7
relation;14;18;4;4
relatif;26;4;5;6
affaire;10;10;3;16
soumettre;12;3;6;19
particulier;15;8;11;5
parlement;30;4;2;3
objectif;5;19;13;1
année;3;6;26;3
réponse;8;14;0;14
participation;9;24;2;2
conséquence;17;9;10;2
solution;5;27;4;0
intérêt;21;4;6;5
difficulté;12;12;10;3
réaliser;12;7;17;0
public;1;16;15;4
penser;5;16;3;13
participer;11;17;4;5
sarre;22;4;0;6
moment;3;24;3;6
initiative;5;22;5;4
important;3;9;14;9
également;8;10;5;11
terme;13;12;7;1
statut;22;10;0;2
recommandation;14;12;5;0
raison;7;11;6;11
principe;18;11;1;5
investissement;3;0;30;0
financier;2;6;23;1
engager;10;12;12;1
compte;12;5;14;4
charger;9;5;20;1
application;24;4;6;1
technique;7;7;15;5
obtenir;8;9;10;7
créer;4;21;5;2
caisse;0;1;28;0
cadre;6;24;2;0
bretagne;2;26;2;1
aide;1;3;24;4
étranger;6;3;8;15
trouver;7;13;10;3
prochain;5;6;9;13
fin;13;9;6;5
exécution;8;3;16;3
atlantique;3;26;0;3
service;4;11;8;7
international;15;13;1;3
besoin;1;4;24;2
aboutir;11;11;8;2
période;2;2;25;0
opinion;3;16;3;6
observation;0;1;2;25
fixer;12;5;10;3
commission;13;3;1;14
chancelier;12;4;1;14
régler;10;10;4;4
possibilité;4;11;10;5
ordre;9;3;7;9
niveau;2;3;22;0
indiquer;8;7;6;8
convenir;4;4;1;21
texte;7;1;3;18
territoire;23;1;3;0
suivant;10;9;5;5
suite;6;3;4;16
peuple;8;18;1;0
oeuvre;14;4;7;4
manière;2;10;12;5
hallstein;5;1;0;23
fois;6;7;12;2
conclusion;16;8;0;5
souveraineté;12;14;2;0
réarmement;1;24;2;0
pied;8;15;4;0
note;4;3;4;15
montrer;2;14;10;2
intéresser;14;0;7;7
informer;4;2;0;21
exposer;5;4;3;15
envisager;12;10;5;1
document;3;0;2;21
consultatif;24;2;1;0
connaître;6;8;2;11
cas;15;3;1;8
adresser;5;4;3;16
seul;1;14;11;0
pratique;6;2;18;1
paix;4;21;2;0
organisme;17;7;2;0
esprit;2;15;3;7
éviter;8;11;5;2
unique;4;7;13;0
sentiment;0;6;2;17
rester;6;9;5;5
pari;6;2;1;16
mois;8;6;9;1
italien;15;2;2;5
fonction;15;7;1;2
expert;3;2;1;19
armée;0;21;1;0
sujet;5;5;1;12
snyder;0;0;0;22
résulter;10;2;11;2
résultat;4;6;10;5
recevoir;3;3;7;11
nécessité;5;10;10;0
guerre;0;16;6;0
déclaration;6;11;1;6
décider;12;4;2;7
crédit;1;1;21;0
cour;19;0;0;5
coopération;8;9;5;3
actuellement;6;12;1;6
élaboration;9;7;2;6
règlement;11;9;1;2
rapidement;2;8;6;8
progrès;0;9;13;1
mai;4;13;0;7
intervenir;18;0;5;0
importance;12;7;4;1
envoyer;0;0;0;23
droit;6;3;10;1
belge;5;3;10;4
rôle;11;5;4;1
propre;5;7;9;2
producteur;7;1;15;0
nouvelle;10;8;3;2
notamment;2;3;15;3
janvier;4;2;6;8
groupe;8;4;1;8
constituer;9;9;3;2
cause;6;4;5;8
association;1;13;8;1
étude;4;7;9;1
établissement;8;5;8;1
vie;2;3;15;0
tâche;3;6;8;5
tonne;0;0;7;5
souhaiter;3;7;1;11
répondre;2;5;3;12
représenter;9;7;5;1
parvenir;3;4;1;13
occidental;1;18;2;0
nato;6;10;0;2
milliard;0;0;16;0
laisser;3;16;0;2
dépense;1;0;19;1
disposer;5;5;11;1
constitution;4;14;1;2
atteindre;2;4;16;0
adenauer;6;3;1;12
union;3;13;2;1
strasbourg;8;8;1;2
semaine;6;3;0;12
réunir;9;2;0;8
présent;5;8;4;3
partir;1;9;1;9
occasion;4;6;2;9
nombre;11;4;1;3
modification;4;2;1;13
fonds;1;1;17;2
déconcentration;13;0;2;4
domaine;17;3;1;0
date;8;2;3;5
continuer;4;8;4;5
cartel;11;0;9;0
caractère;11;2;3;5
avis;9;6;3;3
avenir;7;13;1;0
amérique;0;11;4;4
allié;8;11;0;1
unité;2;13;3;2
système;10;4;6;0
sarrois;15;2;0;0
responsabilité;11;2;4;3
reconnaître;3;6;7;4
rappeler;6;6;3;5
présenter;9;3;2;6
personnel;2;2;2;12
passer;0;9;10;1
particulièrement;3;7;5;5
