"";"V1";"V2";"V3";"V4"
"1";0;4;4;4
"2";0;0;0;2
"3";0;0;3;3
"4";0;0;3;3
"5";0;0;0;2
"6";0;0;0;2
"7";0;0;3;3
"8";0;0;0;2
"9";0;0;3;3
"10";0;0;0;2
"11";0;0;3;3
"12";0;0;0;1
"13";0;0;0;2
"14";0;4;4;4
"15";0;4;4;4
"16";0;0;0;2
"17";0;4;4;4
"18";0;4;4;4
"19";0;4;4;4
"20";0;4;4;4
"21";0;4;4;4
"22";0;4;4;4
"23";0;0;3;3
"24";0;0;3;3
"25";0;0;3;3
"26";0;0;3;3
"27";0;0;3;3
"28";0;0;3;3
"29";0;0;3;3
"30";0;0;3;3
"31";0;0;3;3
"32";0;4;4;4
"33";0;0;3;3
"34";0;0;3;3
"35";0;0;3;3
"36";0;0;3;3
"37";0;4;4;4
"38";0;0;3;3
"39";0;0;3;3
"40";0;0;0;1
"41";0;0;3;3
"42";0;0;3;3
"43";0;0;3;3
"44";0;0;0;2
"45";0;0;0;2
"46";0;0;3;3
"47";0;0;3;3
"48";0;0;3;3
"49";0;0;3;3
"50";0;0;3;3
"51";0;0;3;3
"52";0;0;3;3
"53";0;0;3;3
"54";0;0;3;3
"55";0;0;3;3
"56";0;0;3;3
"57";0;0;3;3
"58";0;0;3;3
"59";0;0;3;3
"60";0;0;3;3
"61";0;0;3;3
"62";0;0;3;3
"63";0;0;0;2
"64";0;0;3;3
"65";0;0;3;3
"66";0;0;3;3
"67";0;0;3;3
"68";0;0;3;3
"69";0;0;3;3
"70";0;0;3;3
"71";0;0;3;3
"72";0;0;3;3
"73";0;0;3;3
"74";0;0;3;3
"75";0;0;3;3
"76";0;0;3;3
"77";0;0;3;3
"78";0;0;3;3
"79";0;0;3;3
"80";0;0;3;3
"81";0;0;3;3
"82";0;0;3;3
"83";0;0;3;3
"84";0;0;3;3
"85";0;0;3;3
"86";0;0;3;3
"87";0;0;3;3
"88";0;0;3;3
"89";0;0;0;0
"90";0;0;3;3
"91";0;0;0;2
"92";0;0;3;3
"93";0;0;3;3
"94";0;0;3;3
"95";0;0;3;3
"96";0;0;3;3
"97";0;0;3;3
"98";0;0;3;3
"99";0;0;3;3
"100";0;0;3;3
"101";0;0;3;3
"102";0;0;3;3
"103";0;0;3;3
"104";0;0;3;3
"105";0;0;3;3
"106";0;0;3;3
"107";0;0;3;3
"108";0;0;3;3
"109";0;0;3;3
"110";0;0;3;3
"111";0;0;3;3
"112";0;0;3;3
"113";0;0;3;3
"114";0;0;3;3
"115";0;0;3;3
"116";0;4;4;4
"117";0;0;3;3
"118";0;0;0;1
"119";0;0;0;1
"120";0;4;4;4
"121";0;4;4;4
"122";0;0;0;1
"123";0;0;0;2
"124";0;0;0;2
"125";0;0;0;2
"126";0;0;0;2
"127";0;0;3;3
"128";0;0;3;3
"129";0;0;0;2
"130";0;0;0;2
"131";0;4;4;4
"132";0;4;4;4
"133";0;4;4;4
"134";0;4;4;4
"135";0;4;4;4
"136";0;4;4;4
"137";0;0;0;1
"138";0;0;0;1
"139";0;0;0;1
"140";0;0;0;1
"141";0;0;0;1
"142";0;4;4;4
"143";0;0;0;2
"144";0;0;3;3
"145";0;0;0;2
"146";0;0;0;2
"147";0;4;4;4
"148";0;0;0;2
"149";0;0;0;1
"150";0;0;0;2
"151";0;4;4;4
"152";0;0;0;1
"153";0;0;0;1
"154";0;0;0;2
"155";0;0;0;1
"156";0;0;0;1
"157";0;0;0;1
"158";0;0;0;2
"159";0;4;4;4
"160";0;0;0;1
"161";0;4;4;4
"162";0;4;4;4
"163";0;4;4;4
"164";0;4;4;4
