"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"476";"1792";"26.56";"****";""
" 71";" 94";" 75.53";"121.95";"assemblée";"2.364157e-28"
" 72";"102";" 70.59";"107.47";"accord";"3.515924e-25"
" 88";"145";" 60.69";" 94.19";"charbon";"2.859878e-22"
" 95";"162";" 58.64";" 93.96";"autorité";"3.223140e-22"
" 91";"159";" 57.23";" 84.14";"haut";"4.612683e-20"
" 80";"133";" 60.15";" 83.08";"acier";"7.860834e-20"
" 49";" 68";" 72.06";" 75.00";"membre";"4.701310e-18"
" 74";"124";" 59.68";" 74.89";"traiter";"4.976677e-18"
" 34";" 41";" 82.93";" 68.34";"ruhr";"1.377925e-16"
" 45";" 67";" 67.16";" 58.82";"représentant";"1.727779e-14"
" 74";"138";" 53.62";" 56.13";"commun";"6.793501e-14"
" 24";" 27";" 88.89";" 54.59";"consultatif";"1.484792e-13"
" 39";" 57";" 68.42";" 52.88";"article";"3.544842e-13"
"111";"243";" 45.68";" 52.67";"gouvernement";"3.955472e-13"
" 30";" 39";" 76.92";" 51.83";"parlement";"6.039488e-13"
" 23";" 27";" 85.19";" 48.29";"territoire";"3.666970e-12"
" 62";"116";" 53.45";" 45.96";"conseil";"1.206905e-11"
" 31";" 44";" 70.45";" 44.55";"délégué";"2.481208e-11"
" 14";" 14";"100.00";" 39.01";"vente";"4.214992e-10"
" 15";" 16";" 93.75";" 37.36";"liaison";"9.822339e-10"
" 76";"165";" 46.06";" 35.42";"communauté";"2.659237e-09"
" 19";" 24";" 79.17";" 34.51";"cour";"4.244917e-09"
" 38";" 66";" 57.58";" 33.79";"institution";"6.148971e-09"
" 15";" 17";" 88.24";" 33.46";"sarrois";"7.256331e-09"
" 24";" 35";" 68.57";" 32.29";"application";"1.324772e-08"
" 17";" 21";" 80.95";" 32.22";"domaine";"1.373377e-08"
" 18";" 23";" 78.26";" 31.92";"intervenir";"1.603994e-08"
" 15";" 18";" 83.33";" 30.04";"confier";"4.229134e-08"
" 22";" 32";" 68.75";" 29.73";"sarre";"4.972849e-08"
" 26";" 41";" 63.41";" 29.21";"fédéral";"6.484716e-08"
" 26";" 41";" 63.41";" 29.21";"relatif";"6.484716e-08"
" 13";" 15";" 86.67";" 28.01";"supranational";"1.204849e-07"
" 22";" 34";" 64.71";" 25.85";"statut";"3.691290e-07"
"  9";"  9";"100.00";" 25.01";"ratification";"5.709439e-07"
"  9";"  9";"100.00";" 25.01";"nommer";"5.709439e-07"
" 11";" 13";" 84.62";" 22.62";"conclure";"1.970253e-06"
" 29";" 54";" 53.70";" 21.03";"mesure";"4.531305e-06"
"  9";" 10";" 90.00";" 20.75";"composer";"5.243941e-06"
" 17";" 26";" 65.38";" 20.38";"organisme";"6.335295e-06"
" 10";" 12";" 83.33";" 19.96";"dkv";"7.907468e-06"
" 10";" 12";" 83.33";" 19.96";"responsable";"7.907468e-06"
" 10";" 12";" 83.33";" 19.96";"outre_mer";"7.907468e-06"
" 14";" 20";" 70.00";" 19.56";"exercer";"9.730941e-06"
"  7";"  7";"100.00";" 19.43";"vertu";"1.044186e-05"
"  7";"  7";"100.00";" 19.43";"élire";"1.044186e-05"
"  7";"  7";"100.00";" 19.43";"choisir";"1.044186e-05"
" 12";" 16";" 75.00";" 19.42";"exécutif";"1.050443e-05"
" 21";" 36";" 58.33";" 19.01";"intérêt";"1.300225e-05"
"  8";"  9";" 88.89";" 18.01";"vigueur";"2.194005e-05"
" 13";" 19";" 68.42";" 17.25";"déconcentration";"3.278664e-05"
" 13";" 19";" 68.42";" 17.25";"entrée";"3.278664e-05"
" 10";" 13";" 76.92";" 17.03";"règle";"3.688110e-05"
" 10";" 13";" 76.92";" 17.03";"justice";"3.688110e-05"
"  6";"  6";"100.00";" 16.64";"désignation";"4.509360e-05"
" 15";" 24";" 62.50";" 16.11";"italien";"5.990784e-05"
" 33";" 70";" 47.14";" 15.82";"disposition";"6.977579e-05"
"  7";"  8";" 87.50";" 15.30";"session";"9.184634e-05"
"  7";"  8";" 87.50";" 15.30";"minerai";"9.184634e-05"
"  7";"  8";" 87.50";" 15.30";"conforme";"9.184634e-05"
" 12";" 18";" 66.67";" 14.99";"signature";"1.079887e-04"
" 11";" 16";" 68.75";" 14.73";"désigner";"1.240721e-04"
"  8";" 10";" 80.00";" 14.72";"commercial";"1.246537e-04"
" 15";" 25";" 60.00";" 14.53";"fonction";"1.378066e-04"
"  9";" 12";" 75.00";" 14.53";"avril";"1.379202e-04"
" 26";" 53";" 49.06";" 14.17";"position";"1.673166e-04"
" 41";" 95";" 43.16";" 14.16";"ministre";"1.675974e-04"
" 27";" 56";" 48.21";" 13.89";"décision";"1.935808e-04"
"  5";"  5";"100.00";" 13.86";"territorial";"1.967147e-04"
"  5";"  5";"100.00";" 13.86";"tarder";"1.967147e-04"
"  5";"  5";"100.00";" 13.86";"signataire";"1.967147e-04"
"  5";"  5";"100.00";" 13.86";"protocole";"1.967147e-04"
"  5";"  5";"100.00";" 13.86";"mars";"1.967147e-04"
"  5";"  5";"100.00";" 13.86";"franco_allemand";"1.967147e-04"
"  5";"  5";"100.00";" 13.86";"composition";"1.967147e-04"
" 11";" 17";" 64.71";" 12.80";"annexe";"3.464546e-04"
"  6";"  7";" 85.71";" 12.61";"associer";"3.846932e-04"
" 10";" 15";" 66.67";" 12.47";"convention";"4.131109e-04"
" 16";" 29";" 55.17";" 12.37";"conclusion";"4.365522e-04"
"  9";" 13";" 69.23";" 12.22";"spécial";"4.723900e-04"
" 49";"123";" 39.84";" 11.93";"prendre";"5.521933e-04"
" 15";" 27";" 55.56";" 11.81";"cas";"5.882030e-04"
" 34";" 79";" 43.04";" 11.50";"délégation";"6.959725e-04"
" 18";" 35";" 51.43";" 11.32";"principe";"7.687564e-04"
" 11";" 18";" 61.11";" 11.13";"final";"8.513515e-04"
"  4";"  4";"100.00";" 11.08";"recours";"8.709626e-04"
"  4";"  4";"100.00";" 11.08";"unanime";"8.709626e-04"
"  4";"  4";"100.00";" 11.08";"surgir";"8.709626e-04"
"  4";"  4";"100.00";" 11.08";"section";"8.709626e-04"
"  4";"  4";"100.00";" 11.08";"respecter";"8.709626e-04"
"  4";"  4";"100.00";" 11.08";"nord_africains";"8.709626e-04"
"  4";"  4";"100.00";" 11.08";"inclusion";"8.709626e-04"
"  4";"  4";"100.00";" 11.08";"genève";"8.709626e-04"
" 27";" 61";" 44.26";" 10.14";"organisation";"1.449347e-03"
"  8";" 12";" 66.67";"  9.96";"vote";"1.599142e-03"
"  8";" 12";" 66.67";"  9.96";"débat";"1.599142e-03"
"  8";" 12";" 66.67";"  9.96";"conformément";"1.599142e-03"
"  5";"  6";" 83.33";"  9.95";"subordonné";"1.611531e-03"
"  7";" 10";" 70.00";"  9.73";"régime";"1.815935e-03"
"  7";" 10";" 70.00";"  9.73";"bureau";"1.815935e-03"
"  6";"  8";" 75.00";"  9.67";"siège";"1.877938e-03"
"  6";"  8";" 75.00";"  9.67";"république";"1.877938e-03"
"  6";"  8";" 75.00";"  9.67";"procéder";"1.877938e-03"
"  6";"  8";" 75.00";"  9.67";"obligation";"1.877938e-03"
" 11";" 19";" 57.89";"  9.66";"nombre";"1.878641e-03"
" 11";" 19";" 57.89";"  9.66";"loi";"1.878641e-03"
" 23";" 51";" 45.10";"  9.25";"conférence";"2.360676e-03"
" 37";" 93";" 39.78";"  8.79";"demander";"3.026327e-03"
"  9";" 15";" 60.00";"  8.67";"préciser";"3.234788e-03"
"  9";" 15";" 60.00";"  8.67";"procédure";"3.234788e-03"
" 11";" 20";" 55.00";"  8.38";"cartel";"3.783414e-03"
" 11";" 20";" 55.00";"  8.38";"responsabilité";"3.783414e-03"
" 27";" 64";" 42.19";"  8.31";"concerner";"3.949954e-03"
"  3";"  3";"100.00";"  8.31";"contractant";"3.947026e-03"
"  3";"  3";"100.00";"  8.31";"unanimité";"3.947026e-03"
"  3";"  3";"100.00";"  8.31";"rabais";"3.947026e-03"
"  3";"  3";"100.00";"  8.31";"populaire";"3.947026e-03"
"  3";"  3";"100.00";"  8.31";"office";"3.947026e-03"
"  3";"  3";"100.00";"  8.31";"intergouvernemental";"3.947026e-03"
"  3";"  3";"100.00";"  8.31";"initial";"3.947026e-03"
"  3";"  3";"100.00";"  8.31";"dérogation";"3.947026e-03"
"  3";"  3";"100.00";"  8.31";"décartellisation";"3.947026e-03"
"  3";"  3";"100.00";"  8.31";"cooptation";"3.947026e-03"
"  3";"  3";"100.00";"  8.31";"comptoir";"3.947026e-03"
"  3";"  3";"100.00";"  8.31";"champ";"3.947026e-03"
"  3";"  3";"100.00";"  8.31";"agence";"3.947026e-03"
"  8";" 13";" 61.54";"  8.21";"approuver";"4.161037e-03"
" 22";" 50";" 44.00";"  8.02";"partie";"4.632630e-03"
" 14";" 28";" 50.00";"  8.01";"intéresser";"4.651942e-03"
"  7";" 11";" 63.64";"  7.80";"1er";"5.228726e-03"
"  6";"  9";" 66.67";"  7.46";"puissance";"6.315577e-03"
"  6";"  9";" 66.67";"  7.46";"mandat";"6.315577e-03"
"  6";"  9";" 66.67";"  7.46";"compromis";"6.315577e-03"
"  4";"  5";" 80.00";"  7.34";"rené";"6.744139e-03"
"  4";"  5";" 80.00";"  7.34";"veto";"6.744139e-03"
"  4";"  5";" 80.00";"  7.34";"veille";"6.744139e-03"
"  4";"  5";" 80.00";"  7.34";"transférer";"6.744139e-03"
"  4";"  5";" 80.00";"  7.34";"provisoire";"6.744139e-03"
"  4";"  5";" 80.00";"  7.34";"personnalité";"6.744139e-03"
"  4";"  5";" 80.00";"  7.34";"exercice";"6.744139e-03"
"  4";"  5";" 80.00";"  7.34";"exclusivement";"6.744139e-03"
" 11";" 21";" 52.38";"  7.26";"rôle";"7.045762e-03"
" 11";" 21";" 52.38";"  7.26";"caractère";"7.045762e-03"
"  5";"  7";" 71.43";"  7.25";"collectif";"7.082915e-03"
" 14";" 29";" 48.28";"  7.12";"oeuvre";"7.603997e-03"
" 15";" 32";" 46.88";"  6.89";"international";"8.660543e-03"
" 12";" 24";" 50.00";"  6.85";"importance";"8.863176e-03"
"  8";" 14";" 57.14";"  6.76";"clause";"9.299152e-03"
" 17";" 38";" 44.74";"  6.57";"conséquence";"1.034854e-02"
"  7";" 12";" 58.33";"  6.25";"égalité";"1.241029e-02"
"  9";" 17";" 52.94";"  6.12";"participant";"1.334943e-02"
" 12";" 25";" 48.00";"  5.97";"décider";"1.452537e-02"
" 19";" 45";" 42.22";"  5.80";"agir";"1.600052e-02"
"  6";" 10";" 60.00";"  5.76";"parlementaire";"1.635939e-02"
"  6";" 10";" 60.00";"  5.76";"commerce";"1.635939e-02"
" 10";" 20";" 50.00";"  5.70";"système";"1.700743e-02"
" 14";" 31";" 45.16";"  5.59";"recommandation";"1.802204e-02"
"  8";" 15";" 53.33";"  5.56";"concentration";"1.840177e-02"
"  8";" 15";" 53.33";"  5.56";"appeler";"1.840177e-02"
"  8";" 15";" 53.33";"  5.56";"matière";"1.840177e-02"
" 11";" 23";" 47.83";"  5.40";"règlement";"2.013238e-02"
"  5";"  8";" 62.50";"  5.32";"ultérieur";"2.107751e-02"
"  5";"  8";" 62.50";"  5.32";"choix";"2.107751e-02"
" 21";" 52";" 40.38";"  5.25";"effet";"2.200858e-02"
"  9";" 18";" 50.00";"  5.12";"fonctionnement";"2.364797e-02"
"  7";" 13";" 53.85";"  5.00";"garantie";"2.538888e-02"
"  4";"  6";" 66.67";"  4.96";"échec";"2.588572e-02"
"  4";"  6";" 66.67";"  4.96";"réforme";"2.588572e-02"
"  4";"  6";" 66.67";"  4.96";"oece";"2.588572e-02"
"  4";"  6";" 66.67";"  4.96";"ultérieurement";"2.588572e-02"
"  4";"  6";" 66.67";"  4.96";"progressivement";"2.588572e-02"
"  4";"  6";" 66.67";"  4.96";"majorité";"2.588572e-02"
"  4";"  6";" 66.67";"  4.96";"lisbonne";"2.588572e-02"
"  4";"  6";" 66.67";"  4.96";"juge";"2.588572e-02"
"  4";"  6";" 66.67";"  4.96";"excessif";"2.588572e-02"
"  4";"  6";" 66.67";"  4.96";"erhard";"2.588572e-02"
"  4";"  6";" 66.67";"  4.96";"consommateur";"2.588572e-02"
"  4";"  6";" 66.67";"  4.96";"alinéa";"2.588572e-02"
"  3";"  4";" 75.00";"  4.82";"élu";"2.810236e-02"
"  3";"  4";" 75.00";"  4.82";"vraisemblablement";"2.810236e-02"
"  3";"  4";" 75.00";"  4.82";"vert";"2.810236e-02"
"  3";"  4";" 75.00";"  4.82";"trait";"2.810236e-02"
"  3";"  4";" 75.00";"  4.82";"toucher";"2.810236e-02"
"  3";"  4";" 75.00";"  4.82";"préjuger";"2.810236e-02"
"  3";"  4";" 75.00";"  4.82";"lever";"2.810236e-02"
"  3";"  4";" 75.00";"  4.82";"indirectement";"2.810236e-02"
"  3";"  4";" 75.00";"  4.82";"conserver";"2.810236e-02"
"  3";"  4";" 75.00";"  4.82";"afrique";"2.810236e-02"
" 22";" 56";" 39.29";"  4.80";"négociation";"2.850688e-02"
