de;408;424;355;317
la;354;388;299;227
l;328;350;235;174
être;273;316;237;228
et;290;322;254;197
les;269;251;232;170
le;268;265;204;207
à;257;243;204;201
avoir;221;204;159;251
des;229;202;253;143
en;207;199;196;153
d;189;228;205;119
que;163;222;135;218
du;232;141;153;128
une;123;215;128;69
qui;140;144;100;99
pour;110;113;145;80
dans;138;170;88;65
au;110;117;87;132
il;83;123;97;100
ne;108;131;94;63
nous;69;115;42;82
un;130;99;88;67
par;103;84;91;58
sur;95;92;73;74
pouvoir;98;97;73;55
je;46;48;16;165
m;38;27;11;143
faire;69;99;60;83
qu;66;93;67;76
vous;37;32;15;178
ce;88;72;39;81
pas;77;90;56;40
avec;54;73;32;81
cette;59;82;55;52
devoir;63;77;55;42
aux;64;39;67;41
s;44;54;44;31
plus;26;63;47;20
ces;46;34;56;32
si;30;64;26;26
se;29;72;25;20
j;18;17;10;84
elle;22;48;37;7
entre;43;37;20;31
notre;18;43;23;24
mais;30;58;26;16
ainsi;28;33;24;41
leur;25;35;32;16
ou;30;29;28;16
même;30;34;32;13
son;32;32;18;18
autres;29;33;21;23
sans;30;28;29;14
sa;31;30;20;16
c;20;39;23;11
dont;16;29;33;19
nos;16;21;23;25
comme;18;24;18;33
y;16;34;15;21
mon;11;11;3;59
me;9;18;10;43
lui;16;21;18;29
ils;15;31;19;10
ses;21;16;21;15
bien;14;12;11;39
vouloir;12;15;6;40
tout;13;28;19;13
point;24;13;13;23
monsieur;8;3;1;50
où;14;27;12;9
leurs;15;16;17;13
votre;9;10;7;36
deux;19;20;9;13
croire;8;19;6;29
1;12;9;11;23
savoir;15;14;5;23
après;26;5;4;22
très;6;16;14;21
six;21;7;19;8
2;12;13;10;21
cet;18;8;14;12
on;8;26;3;4
laquelle;13;18;9;12
tous;10;24;8;9
3;15;6;12;13
ci_joint;7;2;6;34
elles;9;13;15;7
donc;13;11;13;9
toutes;10;12;14;8
autre;16;16;8;5
aussi;11;16;8;9
avant;18;7;4;15
dès;10;15;7;10
outre;9;9;15;9
encore;8;11;9;13
dire;3;11;5;20
1952;5;14;18;3
maintenant;10;15;10;6
afin;13;5;6;17
non;11;14;8;6
falloir;5;20;9;2
depuis;13;8;6;12
toute;5;16;10;4
déjà;5;10;4;15
sous;6;12;9;5
alors;8;16;3;5
c_est_à_dire;17;9;6;0
b;12;6;7;6
aujourd_hui;6;10;2;14
enfin;12;7;5;5
ici;2;9;8;9
ni;4;4;6;4
mes;1;4;1;21
