"";"x"
"1";4
"2";2
"3";3
"4";3
"5";2
"6";2
"7";3
"8";2
"9";3
"10";2
"11";3
"12";1
"13";2
"14";4
"15";4
"16";2
"17";4
"18";4
"19";4
"20";4
"21";4
"22";4
"23";3
"24";3
"25";3
"26";3
"27";3
"28";3
"29";3
"30";3
"31";3
"32";4
"33";3
"34";3
"35";3
"36";3
"37";4
"38";3
"39";3
"40";1
"41";3
"42";3
"43";3
"44";2
"45";2
"46";3
"47";3
"48";3
"49";3
"50";3
"51";3
"52";3
"53";3
"54";3
"55";3
"56";3
"57";3
"58";3
"59";3
"60";3
"61";3
"62";3
"63";2
"64";3
"65";3
"66";3
"67";3
"68";3
"69";3
"70";3
"71";3
"72";3
"73";3
"74";3
"75";3
"76";3
"77";3
"78";3
"79";3
"80";3
"81";3
"82";3
"83";3
"84";3
"85";3
"86";3
"87";3
"88";3
"89";0
"90";3
"91";2
"92";3
"93";3
"94";3
"95";3
"96";3
"97";3
"98";3
"99";3
"100";3
"101";3
"102";3
"103";3
"104";3
"105";3
"106";3
"107";3
"108";3
"109";3
"110";3
"111";3
"112";3
"113";3
"114";3
"115";3
"116";4
"117";3
"118";1
"119";1
"120";4
"121";4
"122";1
"123";2
"124";2
"125";2
"126";2
"127";3
"128";3
"129";2
"130";2
"131";4
"132";4
"133";4
"134";4
"135";4
"136";4
"137";1
"138";1
"139";1
"140";1
"141";1
"142";4
"143";2
"144";3
"145";2
"146";2
"147";4
"148";2
"149";1
"150";2
"151";4
"152";1
"153";1
"154";2
"155";1
"156";1
"157";1
"158";2
"159";4
"160";1
"161";4
"162";4
"163";4
"164";4
"165";2
"166";4
"167";4
"168";4
"169";4
"170";4
"171";4
"172";4
"173";4
"174";4
"175";2
"176";2
"177";2
"178";4
"179";1
"180";4
"181";1
"182";4
"183";4
"184";4
"185";4
"186";1
"187";1
"188";2
"189";2
"190";2
"191";2
"192";1
"193";2
"194";1
"195";2
"196";2
"197";2
"198";2
"199";2
"200";2
"201";2
"202";2
"203";2
"204";2
"205";2
"206";2
"207";2
"208";2
"209";1
"210";1
"211";1
"212";2
"213";1
"214";3
"215";2
"216";3
"217";2
"218";2
"219";2
"220";3
"221";2
"222";1
"223";4
"224";1
"225";1
"226";1
"227";1
"228";1
"229";1
"230";1
"231";1
"232";3
"233";3
"234";4
"235";3
"236";1
"237";1
"238";1
"239";1
"240";1
"241";1
"242";4
"243";2
"244";3
"245";3
"246";2
"247";4
"248";1
"249";4
"250";1
"251";1
"252";1
"253";1
"254";4
"255";4
"256";4
"257";4
"258";4
"259";4
"260";4
"261";4
"262";4
"263";2
"264";1
"265";2
"266";3
"267";3
"268";3
"269";3
"270";3
"271";3
"272";3
"273";4
"274";1
"275";2
"276";3
"277";3
"278";2
"279";2
"280";2
"281";1
"282";2
"283";2
"284";2
"285";2
"286";2
"287";2
"288";2
"289";2
"290";2
"291";2
"292";2
"293";2
"294";2
"295";2
"296";2
"297";4
"298";4
"299";2
"300";1
"301";2
"302";2
"303";2
"304";2
"305";2
"306";2
"307";2
"308";2
"309";2
"310";2
"311";2
"312";2
"313";2
"314";2
"315";2
"316";2
"317";2
"318";2
"319";2
"320";3
"321";3
"322";2
"323";2
"324";3
"325";3
"326";2
"327";2
"328";2
"329";2
"330";2
"331";2
"332";2
"333";2
"334";2
"335";2
"336";2
"337";2
"338";2
"339";2
"340";2
"341";1
"342";2
