"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"plan";0,1;0,925;0,377;0,419;0,032;0,01
"gouvernement";0;0,286;0,558;0,273;0,526;0,004
"français";0;0,286;0,057;0,891;0,019;0,151
"pays";0,003;0,322;0,464;0,171;0,027;0,473
"schuman";0,44;0,499;0,002;0,084;0,01;0,056
"autorité";0,001;0,985;0,704;0,271;0,404;0,001
"haut";0,002;0,379;0,554;0,476;0,242;0,008
"communauté";0,004;0,633;0,861;0,006;0,026;0,025
"charbon";0,001;0,633;0,134;0,006;0,28;0,928
"europe";0,379;0,029;0,698;0;0,848;0,206
"allemand";0,021;0,238;0,001;0,008;0,19;0,304
"commun";0,003;0,322;0,04;0,009;0,076;0,151
"acier";0,001;0,499;0,086;0,019;0,158;0,785
"question";0,155;0,925;0,002;0,155;0,9;0,789
"mettre";0,024;0,925;0,669;0,155;0,032;0,247
"conseil";0,556;0,776;0,978;0,229;0,343;0,531
"traiter";0,069;0,776;0,009;0,061;0,002;0,531
"assemblée";0,27;0,035;0,031;0,102;0,029;0,047
"état";0,006;0,011;0,07;0,108;0,28;0,529
"france";0,002;0,279;0,052;0,522;0,037;0,421
"président";0,03;0,016;0,105;0,017;0,316;0,45
"européen";0,024;0,437;0,82;0,001;0,9;0,656
"prendre";0,006;0,633;0,403;0,026;0,026;0,418
"comité";0,017;0,293;0,119;0,32;0,074;0,266
"allemagne";0,074;0,176;0;0,02;0,029;0,233
"ministre";0,001;0,475;0,086;0,883;0,748;0,014
"nécessaire";0,055;0,187;0,627;0,972;0,001;0,273
"accord";0,003;0,253;0,001;0,405;0,896;0,853
"politique";0,06;0,151;0,881;0;0,678;0,769
"donner";0,003;0,761;0,942;0,009;0,099;0,151
"projet";0,004;0,292;0,004;0,754;0,741;0,16
"demander";0,015;0,098;0,198;0,229;0,129;0,421
"voir";0,253;0,85;0,597;0,189;0,147;0,212
"permettre";0,001;0,833;0,07;0,385;0;0,418
"délégation";0,004;0;0,134;0,754;0,007;0,513
"marché";0,033;0,855;0,662;0,022;0,325;0,086
"national";0,03;0,016;0,064;0,002;0,027;0,45
"américain";0,05;0,094;0,346;0,254;0;0,115
"cours";0,024;0,008;0,028;0,1;0,313;0,061
"production";0,033;0,524;0,726;0,512;0;0,086
"institution";0,135;0,275;0,279;0,164;0,415;0,345
"général";0,002;0,86;0,554;0,235;0,003;0,645
"condition";0,008;0,15;0,797;0,177;0,494;0,562
"représentant";0,003;0,324;0,039;0,086;0,896;0,041
"disposition";0,006;0,887;0,014;0,157;0,251;0,39
"membre";0,19;0,435;0,333;0,494;0,245;0
"conversation";0,271;0,499;0;0,043;0,404;0,008
"base";0,074;0,176;0,44;0,342;0;0,047
"monnet";0,002;0,063;0,066;0,597;0,012;0,858
"rapport";0,33;0,735;0,052;0,024;0,001;0,031
"article";0,05;0,962;0,123;0,05;0,524;0,043
"part";0,008;0,15;0,65;0,985;0,011;0,033
"proposer";0,001;0,833;0,861;0,006;0,227;0,529
"possible";0,196;0,534;0,852;0,553;0,028;0,273
"remettre";0,179;0,053;0,205;0,58;0,558;0,311
"ensemble";0,006;0,887;0,718;0,001;0,079;0,028
"concerner";0,048;0,967;0;0,048;0,494;0,562
"unir";0,765;0,041;0,157;0,001;0,074;0,055
"premier";0,034;0,42;0,293;0,325;0,18;0,104
"industrie";0,132;0,44;0,71;0,563;0,01;0,225
"essentiel";0,024;0,013;0,417;0,11;0;0,019
"création";0,021;0,694;0,186;0,008;0,19;0,837
"travail";0,002;0;0,15;0,58;0,019;0,311
"programme";0,062;0,475;0,401;0,062;0;0,132
"grand";0,28;0,253;0,043;0,035;0,002;0,095
"actuel";0,005;0,81;0,105;0,279;0,027;0,023
"défense";0,021;0,049;0,037;0;0,05;0,304
"économique";0,048;0,024;0,061;0,494;0,002;0,033
"position";0,157;0,887;0,002;0,225;0,059;0,504
"entreprise";0,197;0,363;0,568;0,593;0,001;0,1
"effort";0,111;0,238;0,186;0,216;0;0,064
"assurer";0,011;0,938;0,627;0,972;0;0,011
"mesure";0,011;0,021;0,197;0,06;0,038;0,203
"négociation";0,006;0,887;0,718;0,011;0,079;0,152
"développement";0,021;0,238;0,85;0,052;0,009;0,064
"décision";0,129;0,63;0,247;0,665;0,027;0,45
"discussion";0,041;0,442;0,029;0,593;0,352;0,324
"accepter";0,014;0,554;0,49;0,102;0,725;0,691
"partie";0,27;0,554;0,49;0,676;0,325;0,691
"effet";0,086;0,783;0,985;0,658;0,013;0,354
"conférence";0,005;0,054;0,354;0,129;0,423;0,002
"établir";0,33;0,292;0,901;0,339;0,146;0,4
"jean";0,013;0,019;0,046;0,229;0,058;0,531
"délégué";0,033;0,023;0,662;0,512;0,289;0,086
"cher";0;0,706;0,573;0,106;0,034;0,4
"prix";0,062;0,052;0,388;0,062;0,022;0,132
"lettre";0,92;0,187;0,733;0,038;0,589;0,924
"réunion";0,27;0;0,968;0,79;0,122;0,233
"organisation";0,041;0,08;0,168;0,013;0,245;0,1
"ressource";0,091;0,148;0,126;0,991;0;0,173
"mémorandum";0,413;0,069;0,044;0,935;0,705;0,391
"moyen";0,014;0,176;0,44;0,02;0,004;0,233
"activité";0,159;0,904;0,203;0,665;0,004;1
